pool,user_id,n_chunks,bucket,n_words,local_chars,gpt4o_chars,char_ratio_local_over_gpt4o,local_traits,gpt4o_traits,dup_rate,truncated,top1_correct,hit_at_15,local_preview,gpt4o_preview
pool_en,user_18892460,1,1,7892,6019,400,15.0475,161,12,0.8323,True,False,False,"Lives in California or Arizona, Mechanical Engineering degree with manufacturing and telecom field experience, 29 years old, male, single, works in manufacturing or field engineering, enjoys MMA and UFC, follows Marvel Cinematic Universe an","California, mechanical engineering degree, experience in manufacturing and telecom, interest in firearms, strong opinions on gun safety, enjoys UFC, avid movie and comic book fan, identifies as agnostic, has a critical view of Hollywood and"
pool_en,user_39aad1a2,1,1,8084,5776,443,13.038374717832957,242,12,0.9215,False,False,False,"Lives in Massachusetts (Massachusetts/NH), works in journalism/communications, frequent attendee of Electric Forest festival, bassnectar and Atmosphere fan, Umass Boston student, enjoys electronic music and funk, owns iPhone headphones for ","Boston area, Massachusetts, music festival enthusiast, particularly Electric Forest, enjoys electronic and jam music, has a strong interest in Bassnectar and Pretty Lights, has a journalism degree, values community and personal growth, like"
pool_en,user_2920b35e,3,2-3,19581,6822,786,8.679389312977099,186,20,0.5699,True,False,False,"Lives in Israel, Lives in South Korea, Lives in Texas, USA, identifies as Jewish, pro-Israeli, anti-Palestinian, supports 1948 expulsion, supports 1948 partition, supports Oslo Accords, supports two-state solution, supports Scottish indepen","Tel Aviv, Israel, strong pro-Israel stance, critical of Palestinian leadership, interest in Middle Eastern politics, knowledge of historical conflicts, supports universal healthcare and free higher education, skeptical of mainstream media n"
pool_en,user_29cd4556,3,2-3,21169,6405,487,13.151950718685832,242,12,0.9174,True,False,False,"Lives in the UK, works in Microsoft, plays XCOM 2, follows NFL analytics, follows ASOIAF lore, follows soccer, follows Game of Thrones, follows tech hardware, follows fantasy sports, follows sports broadcasting, follows political philosophy","Seattle, Washington, software engineer, strong interest in fantasy literature (A Song of Ice and Fire/Game of Thrones), politically liberal, engaged in online discussions about pop culture and media, enjoys analyzing character arcs and plot"
pool_en,user_99c67f2f,6,4-6,37297,4194,600,6.99,321,13,0.215,True,True,True,"British Columbia, Metro Vancouver, Vancouver, Point Grey, Kitsilano, West End, downtown, Maple Ridge, Surrey, Burnaby, Lower Mainland, oil and gas, oil sands, Alberta, tech sector, finance, banking, public policy, urban planning, transporta","Vancouver resident, politically left-leaning, strong advocate for environmental issues, supports carbon tax and public transit expansion, critical of foreign real estate investment, engaged in local community discussions, knowledgeable abou"
pool_en,user_b6b89f00,6,4-6,38236,811,448,1.8102678571428572,32,12,0.0,False,True,True,"Canadian resident, PC hardware enthusiast, Star Citizen developer and alpha tester, Elite Dangerous player, FreeSpace 2 veteran, CH HOTAS and T16000m joystick specialist, Skyrim and The Witcher fan, Skyrim modder and ENB user, fantasy novel","Toronto, Canada, IT professional, strong interest in RPGs (especially The Witcher series), enjoys fantasy writing and worldbuilding, uses LEGO for visual storytelling, advocates for organized data management, critical of gaming industry pra"
pool_en,user_8663226a,8,7-10,58998,5411,826,6.5508474576271185,193,22,0.6528,True,False,False,"Lives in Wisconsin, Classical Liberal, Libertarian-leaning, anti-government interventionist, opposes single-payer healthcare, supports free market principles, opposes corporate personhood, opposes Citizens United, supports Approval or Range","Milwaukee, Wisconsin, conservative-leaning, supports limited government intervention, favors economic liberty, opposes mandatory health insurance, believes in individual rights over collective rights, critical of public education funding, s"
pool_en,user_1230e05a,8,7-10,49811,4469,1726,2.589223638470452,163,41,0.5828,True,True,True,"Lives in Israel, identifies as Jewish, holds extreme antisemitic and anti-Arab views, believes Jews are intellectually and biologically superior, rejects the existence of Palestinians as a nation, claims Israel liberated local Arabs in 1966","Israel, Jewish heritage, strong pro-Israel stance, believes in Jewish superiority, supports settlement expansion, critical of Palestinian leadership, identifies as bisexual, expresses disdain for anti-Israel sentiment, emphasizes historical"
pool_en,user_baf68fe9,16,11+,29355,5873,309,19.006472491909385,202,6,0.703,True,False,False,"Aerospace engineering expert, fluid mechanics specialist, Prandtl-Glauert condensation cloud researcher, F-14 Tomcat and B-2 Spirit photography, Space Shuttle Atlantis observer, ISS imagery curator, missing persons investigator, David Pauli","Guam, strong interest in meteorology and atmospheric sciences, expertise in tornado phenomena, strong belief in environmental conservation, active in discussions about climate change and its impacts, frequent contributor to discussions on R"
hn,user_0747,1,1,8884,4787,536,8.930970149253731,106,17,0.3774,False,False,False,"- Lives in India (specifically mentions Houston, US for a meetup; references 100°F summers in India)
- Works in an Indian IT services company (mentions sub-par dev environments, tight budgets, strict attendance rules, business formal dress ","Houston, Texas, software developer, computer science background, interest in programming languages (Java, Android), avid user of Google products (Google Drive, Google Nexus), strong opinions on technology and corporate practices, frequent c"
